20, 45, -5, 2, 456, 235, -23, 456, 23, 64, 12, 45
143, 45, -5, 2, 456, 235, -23, 456, 23, 64, 12, 45
102, 45, -5, 2, 456, 235, -23, 456, 23, 64, 12, 45
58, 45, -5, 2, 456, 235, -23, 456, 23, 64, 12, 45
94, 45, -5, 2, 456, 235, -23, 456, 23, 64, 12, 45
-4, 45, -5, 2, 456, 235, -23, 456, 23, 64, 12, 45
56, 45, -5, 2, 456, 235, -23, 456, 23, 64, 12, 45
7, 45, -5, 2, 456, 235, -23, 456, 23, 64, 12, 45
89, 45, -5, 2, 456, 235, -23, 456, 23, 64, 12, 45
37, 45, -5, 2, 456, 235, -23, 456, 23, 64, 12, 467
75, 45, -5, 2, 456, 235, -23, 456, 23, 64, 12, 45
